brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Ford,Escape,2022,42368,Silver,SE Hybrid,New,"SUV, Crossover",Other,Automatic,Other,0,,,,"940 Kingston Road, Pickering, ON, L1V 1B3"
Acura,TLX,2019,33590,Blue,Tech A-Spec,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,74687,,,,"55 Auction Ln, Brampton, ON, L6T 5V8"
Hyundai,Veloster,2012,8995,Silver,GRAND DLX NAVI BLUETOOTH CAMERA PARK ASSIST PANO ROOF,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,171000,https://www.carproof.com/order?ref=kijiji&vin=KMHTC6AD8CU025892,KMHTC6AD8CU025892,,"1830 Lawrence Avenue East, Toronto, ON, M1R 2Y2"
Mercedes-Benz,Other,2019,79800,Black,"AMG CLS53 S, 429 HP, DISTRONIC PLUS, AMG PKG,",Used,Sedan,All-wheel drive (AWD),Automatic,Other,77591,https://www.carproof.com/order?ref=kijiji&vin=WDD2J6BB1KA029498,WDD2J6BB1KA029498,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
Other,Other,2022,41863,White,Comfortline,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Volvo,XC60,2015,20995,Grey,T5 Premier,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,154370,,,,"Vaughan, ON L4J 0H2"
Nissan,370Z,2015,47777,Red,NISMO TECH 350HP |NAV|CAMERA|6SPEED.MANUAL|15KM,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,Gasoline,15200,https://www.carproof.com/order?ref=kijiji&vin=JN1AZ4EH1FM440359,JN1AZ4EH1FM440359,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Toyota,Corolla,2003,2550,Silver,ce,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,2999,,,,"North York, ON M3J"
Chevrolet,Colorado,2021,45000,White,WT,Used,Pickup Truck,Rear-wheel drive (RWD),Automatic,Gasoline,15000,,,,"Toronto, ON, M6K, CA"
Mercedes-Benz,CLS-Class,2008,12000,,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,212000,,,,"Woodbine Ave, Markham, ON L3R 3V7, Canada"
Other,Other,2022,29963,Silver,Comfortline,New,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Lexus,LX,2019,110777,Black,LX 570 EXECUTIVE |NAV|360CAM|BLINDSPT|DVD|HUD|ADAPTIV|8PASS,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,39000,https://www.carproof.com/order?ref=kijiji&vin=JTJHY7AX0K4307632,JTJHY7AX0K4307632,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
BMW,X5,2008,3500,,3,Used,"SUV, Crossover",,,,160000,,,,"Scarborough, ON M1P 4P5"
Mercedes-Benz,E-Class,2007,4685,,,Used,Sedan,,,,247000,,,,"Toronto, ON M3J3J7"
Dodge,Charger,2021,45671,Grey,GT,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,64397,https://www.carproof.com/order?ref=kijiji&vin=2C3CDXHG9MH501812,2C3CDXHG9MH501812,,"935 Woodlawn Road West, Guelph, ON, N1K 1B7"
Scion,tC,2012,13995,Yellow,Release Series 7.0 TRD Edition *6-Speed*,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Other,106472,https://www.carproof.com/order?ref=kijiji&vin=JTKJF5C7XC3026741,JTKJF5C7XC3026741,,"475 Kennedy Rd, Scarborough, ON, M1K 2A9"
Dodge,Challenger,2016,25880,Blue,SXT | V6 3.6L | P. GOURPS | BLUE TOOTH |,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Other,148828,https://www.carproof.com/order?ref=kijiji&vin=2C3CDZAG3GH264115,2C3CDZAG3GH264115,,"1882 Lawrence Avenue East, Scarborough, ON, M1R 2Y5"
BMW,3-Series,2020,51900,White,XDrive Sedan | M Sport Edition | Low KMS,Used,Sedan,Other,Automatic,Other,21798,https://www.carproof.com/order?ref=kijiji&vin=3MW5R7J00L8B12016,3MW5R7J00L8B12016,,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
Other,Other,2022,41863,White,Comfortline,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Volvo,XC60,2015,20995,Grey,T5 Premier,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,154370,,,,"Vaughan, ON L4J 0H2"
Nissan,370Z,2015,47777,Red,NISMO TECH 350HP |NAV|CAMERA|6SPEED.MANUAL|15KM,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,Gasoline,15200,https://www.carproof.com/order?ref=kijiji&vin=JN1AZ4EH1FM440359,JN1AZ4EH1FM440359,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Toyota,Corolla,2003,2550,Silver,ce,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,2999,,,,"North York, ON M3J"
Chevrolet,Colorado,2021,45000,White,WT,Used,Pickup Truck,Rear-wheel drive (RWD),Automatic,Gasoline,15000,,,,"Toronto, ON, M6K, CA"
Mercedes-Benz,CLS-Class,2008,12000,,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,212000,,,,"Woodbine Ave, Markham, ON L3R 3V7, Canada"
Other,Other,2022,29963,Silver,Comfortline,New,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Lexus,LX,2019,110777,Black,LX 570 EXECUTIVE |NAV|360CAM|BLINDSPT|DVD|HUD|ADAPTIV|8PASS,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,39000,https://www.carproof.com/order?ref=kijiji&vin=JTJHY7AX0K4307632,JTJHY7AX0K4307632,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
BMW,X5,2008,3500,,3,Used,"SUV, Crossover",,,,160000,,,,"Scarborough, ON M1P 4P5"
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
Porsche,Macan,2015,49800,White,"Turbo, 400HP, SPORT CHRONO, NAV, CAM",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,97635,https://www.carproof.com/order?ref=kijiji&vin=WP1AF1A51FLB98533,WP1AF1A51FLB98533,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Chevrolet,Corvette,2021,129800,Red,"Stingray Coupe , 490HP, BOSE, RED CALIPERS",Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Other,4453,https://www.carproof.com/order?ref=kijiji&vin=1G1YA2D43M5109644,1G1YA2D43M5109644,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
BMW,3-Series,2015,21998,White,MINT CONDITION| ROOF | CLEAN CARFAX | HEATED SEATS |PDC|AWD,Used,Sedan,All-wheel drive (AWD),Automatic,Other,107240,https://www.carproof.com/order?ref=kijiji&vin=WBA3C3G59FNT52882,WBA3C3G59FNT52882,,"1882 Lawrence Avenue East, Scarborough, ON, M1R 2Y5"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
